#2,4,8,16,32 iv run:
#key_index key_hex budget success seconds
15 5fe3390e52c7f2ff31e15e854718516feeb7a6c05d4d669126c4f294506c0878 4 1 24.171
15 5fe3390e52c7f2ff31e15e854718516feeb7a6c05d4d669126c4f294506c0878 8 1 skip-monotone
15 5fe3390e52c7f2ff31e15e854718516feeb7a6c05d4d669126c4f294506c0878 16 1 skip-monotone
15 5fe3390e52c7f2ff31e15e854718516feeb7a6c05d4d669126c4f294506c0878 32 1 skip-monotone
16 34b374f5d1133a5cc481a842fcc77ee546a7018c9efd9f35132c30a8051c5208 2 0 11.118
16 34b374f5d1133a5cc481a842fcc77ee546a7018c9efd9f35132c30a8051c5208 4 0 12.137
16 34b374f5d1133a5cc481a842fcc77ee546a7018c9efd9f35132c30a8051c5208 8 1 25.167
16 34b374f5d1133a5cc481a842fcc77ee546a7018c9efd9f35132c30a8051c5208 16 1 skip-monotone
16 34b374f5d1133a5cc481a842fcc77ee546a7018c9efd9f35132c30a8051c5208 32 1 skip-monotone
17 1f3ada6993e42b70aebff0edc872b1bb5072e27560dca1d6c68b9ad0778dc8dd 2 0 10.088
17 1f3ada6993e42b70aebff0edc872b1bb5072e27560dca1d6c68b9ad0778dc8dd 4 1 24.197
17 1f3ada6993e42b70aebff0edc872b1bb5072e27560dca1d6c68b9ad0778dc8dd 8 1 skip-monotone
17 1f3ada6993e42b70aebff0edc872b1bb5072e27560dca1d6c68b9ad0778dc8dd 16 1 skip-monotone
17 1f3ada6993e42b70aebff0edc872b1bb5072e27560dca1d6c68b9ad0778dc8dd 32 1 skip-monotone
18 639d957b62de06ebd282c40a053b9a077bd941c430c02889c4956e4ed69a0a12 2 0 11.085
18 639d957b62de06ebd282c40a053b9a077bd941c430c02889c4956e4ed69a0a12 4 0 12.136
18 639d957b62de06ebd282c40a053b9a077bd941c430c02889c4956e4ed69a0a12 8 1 18.137
18 639d957b62de06ebd282c40a053b9a077bd941c430c02889c4956e4ed69a0a12 16 1 skip-monotone
18 639d957b62de06ebd282c40a053b9a077bd941c430c02889c4956e4ed69a0a12 32 1 skip-monotone
19 98182f0760c25616e425ae68918ef0bfbee8d2df4787139ab96075f72a9c63fc 2 0 13.093
19 98182f0760c25616e425ae68918ef0bfbee8d2df4787139ab96075f72a9c63fc 4 1 28.250
19 98182f0760c25616e425ae68918ef0bfbee8d2df4787139ab96075f72a9c63fc 8 1 skip-monotone
19 98182f0760c25616e425ae68918ef0bfbee8d2df4787139ab96075f72a9c63fc 16 1 skip-monotone
19 98182f0760c25616e425ae68918ef0bfbee8d2df4787139ab96075f72a9c63fc 32 1 skip-monotone
20 134aef0f27b5c25c70809cb5dbf04dbdc2da62cb0ebd921daa00e4b7b660e03b 2 0 9.101
20 134aef0f27b5c25c70809cb5dbf04dbdc2da62cb0ebd921daa00e4b7b660e03b 4 0 9.081
20 134aef0f27b5c25c70809cb5dbf04dbdc2da62cb0ebd921daa00e4b7b660e03b 8 0 12.097
20 134aef0f27b5c25c70809cb5dbf04dbdc2da62cb0ebd921daa00e4b7b660e03b 16 1 20.218
20 134aef0f27b5c25c70809cb5dbf04dbdc2da62cb0ebd921daa00e4b7b660e03b 32 1 skip-monotone
21 f24b4b8826d64825117747540bbaf3acdf158d4919d814552b0cc3103b601fe2 2 0 9.090
21 f24b4b8826d64825117747540bbaf3acdf158d4919d814552b0cc3103b601fe2 4 1 26.200
21 f24b4b8826d64825117747540bbaf3acdf158d4919d814552b0cc3103b601fe2 8 1 skip-monotone
21 f24b4b8826d64825117747540bbaf3acdf158d4919d814552b0cc3103b601fe2 16 1 skip-monotone
21 f24b4b8826d64825117747540bbaf3acdf158d4919d814552b0cc3103b601fe2 32 1 skip-monotone
22 90d006b60c3cf0070225f600660e7ee1d26bafb6d83816a87439596475ca0d52 2 0 9.102
22 90d006b60c3cf0070225f600660e7ee1d26bafb6d83816a87439596475ca0d52 4 0 13.136
22 90d006b60c3cf0070225f600660e7ee1d26bafb6d83816a87439596475ca0d52 8 1 29.208
22 90d006b60c3cf0070225f600660e7ee1d26bafb6d83816a87439596475ca0d52 16 1 skip-monotone
22 90d006b60c3cf0070225f600660e7ee1d26bafb6d83816a87439596475ca0d52 32 1 skip-monotone
23 3d00806a18033854dbfa6c6da232d672f3b598ea3ff4c86941cf2b4a330af1c0 2 1 18.165
23 3d00806a18033854dbfa6c6da232d672f3b598ea3ff4c86941cf2b4a330af1c0 4 1 skip-monotone
23 3d00806a18033854dbfa6c6da232d672f3b598ea3ff4c86941cf2b4a330af1c0 8 1 skip-monotone
23 3d00806a18033854dbfa6c6da232d672f3b598ea3ff4c86941cf2b4a330af1c0 16 1 skip-monotone
23 3d00806a18033854dbfa6c6da232d672f3b598ea3ff4c86941cf2b4a330af1c0 32 1 skip-monotone
24 67dd05fd5254f7476ca877b93665f2c8524ff9ad41f730941e3473f46b0502b4 2 0 12.113
24 67dd05fd5254f7476ca877b93665f2c8524ff9ad41f730941e3473f46b0502b4 4 0 11.097
24 67dd05fd5254f7476ca877b93665f2c8524ff9ad41f730941e3473f46b0502b4 8 1 25.211
24 67dd05fd5254f7476ca877b93665f2c8524ff9ad41f730941e3473f46b0502b4 16 1 skip-monotone
24 67dd05fd5254f7476ca877b93665f2c8524ff9ad41f730941e3473f46b0502b4 32 1 skip-monotone
25 fdb168b2fdf7f2c7c191427c463b630780dcc7908e3629a6b896117fbd6b6719 2 0 10.090
25 fdb168b2fdf7f2c7c191427c463b630780dcc7908e3629a6b896117fbd6b6719 4 0 20.186
25 fdb168b2fdf7f2c7c191427c463b630780dcc7908e3629a6b896117fbd6b6719 8 1 26.217
25 fdb168b2fdf7f2c7c191427c463b630780dcc7908e3629a6b896117fbd6b6719 16 1 skip-monotone
25 fdb168b2fdf7f2c7c191427c463b630780dcc7908e3629a6b896117fbd6b6719 32 1 skip-monotone
26 2492e4ce2b45fc631aca958440a18ed166fb266fc43fc8f852506ed91d108a92 2 0 9.110
26 2492e4ce2b45fc631aca958440a18ed166fb266fc43fc8f852506ed91d108a92 4 1 23.216
26 2492e4ce2b45fc631aca958440a18ed166fb266fc43fc8f852506ed91d108a92 8 1 skip-monotone
26 2492e4ce2b45fc631aca958440a18ed166fb266fc43fc8f852506ed91d108a92 16 1 skip-monotone
26 2492e4ce2b45fc631aca958440a18ed166fb266fc43fc8f852506ed91d108a92 32 1 skip-monotone
27 fd2315ada9ea6110eb65eb2bf88a28b509ceaff8e002a59f1f9332448b41b162 2 0 11.106
27 fd2315ada9ea6110eb65eb2bf88a28b509ceaff8e002a59f1f9332448b41b162 4 1 22.202
27 fd2315ada9ea6110eb65eb2bf88a28b509ceaff8e002a59f1f9332448b41b162 8 1 skip-monotone
27 fd2315ada9ea6110eb65eb2bf88a28b509ceaff8e002a59f1f9332448b41b162 16 1 skip-monotone
