trial,key_hex,k8_hex,outer_success,true_lane_rank,outer_wall_seconds,inward_outcome,inward_success,inward_wall_seconds,first_tier_failure,joint_success
53,807B91E65B6C487E23B83D113FE41FBADF5971E05CFD94B26E9ED2A70B3887C0,0B3887C0,1,1,0.647053941,SUCCESS,1,133.795528815,,1
54,2B96A240FEE5EF824E6BD3D4EF81F07C80738626C5B8171BA4A555F5FD235CB7,FD235CB7,1,1,0.133021392,TIMEOUT,0,600.073954798,S4:s7:c0:tier9,0
55,C422B605E1A3006A81CB16E7911CEC8EEA7EDD8A1F14B7F6E410E38D1662B796,1662B796,1,1,0.287600079,SUCCESS,1,189.470251705,,1
56,F1BA9D5794ED3D8A3DA0612AB38060EAD5DA28E355CDD9ED5D4A67468228AB01,8228AB01,1,1,0.652163791,SUCCESS,1,113.351811763,,1
57,C48E0FCBC72E8AFA2F39CEF9A474BFD9AAE7D0EF93B449C09DBFB74C70E84BB1,70E84BB1,1,1,0.333244384,SUCCESS,1,193.046419302,,1
58,C06D89AF9B03AFC120C3512E051257260DEEAB522D164384C3F4CC21AA6AAEC2,AA6AAEC2,1,1,0.708809630,SUCCESS,1,149.270965891,,1
59,42128DE0DAF4FEF670E32142BBA0752D7CDF004306531A8E52354954F26810C7,F26810C7,1,1,0.709339239,SUCCESS,1,83.278178076,,1
60,DF9A0DBEE05BB0BC7CC6B1430335F5DE31DFE30ABE9FEF6EFEA740A607F6E798,07F6E798,1,1,0.255714437,SUCCESS,1,228.760497624,,1
61,95FF5D29819C7BC965BB3BBFF7ED68091E982AD8F0EB4607C7009FF57D1C6FD5,7D1C6FD5,1,1,0.283827499,SUCCESS,1,129.554968253,,1
62,AE1D09127AC8DAB5EE87924216D35AD9FB88BF2FE10A248CA37B42B170C6B330,70C6B330,1,1,0.280311112,SUCCESS,1,171.800551998,,1
63,AD172200563128BD60523972F78C62F99DC87F8FA5DF5F6991E5486AFDBB4AA0,FDBB4AA0,1,1,0.279412675,SUCCESS,1,131.774495820,,1
64,3C4728C5A9508AC9A0844AEFCB6106099DE51352C6DCF0020488F3C9BA31677F,BA31677F,1,1,0.289322332,SUCCESS,1,173.232847761,,1
65,089CA8FD0F46519705EA698EAAEDE1F9DF41A17B482AE76FA4315EE0DF8C6520,DF8C6520,1,1,0.268812752,SUCCESS,1,256.059116712,,1
66,6D147383B055359C7C47BA2115A81CE610EFBB982F5324F0A2DCE86D9906D381,9906D381,1,1,0.259088234,SUCCESS,1,239.463265254,,1
67,D01E49071E727F6CB475A5CEA870BCAE933D0D2A7E77A10F2A96E9889B570232,9B570232,1,1,0.241648771,SUCCESS,1,150.213990493,,1
68,9E917DC0A9BAE9ED1D67F7B91FFA3DB3FB028F7D215BBF07EB54CBACFDA47E84,FDA47E84,1,1,0.270979290,SUCCESS,1,260.163874663,,1
69,D739091F034178D2F75601088B4D0D85181BD48AF36CED2FF95DAA3C9B32E929,9B32E929,1,1,0.241689250,SUCCESS,1,236.420122433,,1
70,DE8FF3BF0B7AE65C2BF7D1DCFB6DA558422BECEF07B1732621AE3333FD6C6B99,FD6C6B99,1,1,0.289048108,SUCCESS,1,326.892763174,,1
71,12E7BABB056C6358583BFE0AC6A1342DE916C77A32569A1A94FD7FD9C41D4EF1,C41D4EF1,1,1,0.310692336,SUCCESS,1,218.180409757,,1
72,326BA72E0EDE28BE4CB7137E784A9B74D0010A282816A4AF950E3046F6A89663,F6A89663,1,1,0.239149451,SUCCESS,1,180.832979101,,1
73,1596F14A655782AE9CBF14EFF02C7C3D7A3EF1925D08479D6C48ABF9614B441A,614B441A,1,1,0.301895032,SUCCESS,1,302.534747515,,1
74,2BBE442FD6FC25213668ED3652EE78BB66DA52181E182FF93FBBDC5E67C69476,67C69476,1,1,0.165722015,SUCCESS,1,224.795508650,,1
75,4DCF64622F09C699309CDA9755A7F191EDBAE780CB4FBE53E1C2F9808496E5C0,8496E5C0,1,1,0.347710192,SUCCESS,1,256.726676543,,1
76,7BB7C4DE0BADC63FA6EFAF5C5EB1BBD3BF9C9BD04DC62CDCB0583B270F358ADE,0F358ADE,1,1,0.310988832,SUCCESS,1,244.402024247,,1
77,E32C90FA2E2B430454CA9A27AF5FE5209F0A862E6648BE8C2BB8771B2FD83FC9,2FD83FC9,1,1,0.211389874,SUCCESS,1,238.725692301,,1
78,0E7FB619A9284F52A94FAA31A1913FC43874292B91A012E2F0F1852BA531B85F,A531B85F,1,1,0.646172269,SUCCESS,1,191.119880620,,1
79,4FA65A1425534A5B6D0DABB5F4C83B7E1C2223D371769372C7EFC1AD3ECED1DE,3ECED1DE,1,1,0.628594750,SUCCESS,1,141.542513124,,1
80,71B8CF4C5A91838BF05A43C99BA967BC056632FA45A4D2CE4E4B26CEE082F3A5,E082F3A5,1,1,0.183909873,SUCCESS,1,165.658405763,,1
